Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,
CBG,CBRE Group,reports,Financials,Real Estate Services,Los Angeles, California,,0001138118,/wiki/CBRE_Group
CBS,CBS Corp.,reports,Consumer Discretionary,Broadcasting & Cable TV,New York, New York,1994-09-01,0000813828,/wiki/CBS_Corp.
CELG,Celgene Corp.,reports,Health Care,Biotechnology,Summit, New Jersey,,0000816284,/wiki/Celgene_Corp.
CNC,Centene Corporation,reports,Health Care,Managed Health Care,St Louis, Missouri,2016-03-30,0001071739,/wiki/Centene_Corporation
CNP,CenterPoint Energy,reports,Utilities,MultiUtilities,Houston, Texas,1985-07-31,0001130310,/wiki/CenterPoint_Energy
CTL,CenturyLink Inc,reports,Telecommunications Services,Integrated Telecommunications Services,Monroe, Louisiana,,0000018926,/wiki/CenturyLink_Inc
CERN,Cerner,reports,Health Care,Health Care Distributors & Services,North Kansas City, Missouri,2010-04-30,0000804753,/wiki/Cerner
CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,Deerfield, Illinois,2008-08-27,0001324404,/wiki/CF_Industries_Holdings_Inc
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,San Francisco, California,,0000316709,/wiki/Charles_Schwab_Corporation
CHK,Chesapeake Energy,reports,Energy,Integrated Oil & Gas,Oklahoma City, Oklahoma,,0000895126,/wiki/Chesapeake_Energy
CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,San Ramon, California,,0000093410,/wiki/Chevron_Corp.
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,Denver, Colorado,2011-04-28,0001058090,/wiki/Chipotle_Mexican_Grill
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,Zurich, Switzerland,2010-07-15,0000896159,/wiki/ACE_Limited
CHD,Church & Dwight,reports,Consumer Staples,Household Products,Ewing, New Jersey,2015-12-29,0000313927,/wiki/Church_%26_Dwight
CI,CIGNA Corp.,reports,Health Care,Managed Health Care,Philadelphia, Pennsylvania,1976-06-30,0000701221,/wiki/CIGNA_Corp.
XEC,Cimarex Energy,reports,Energy,Oil & Gas Exploration & Production,Denver, Colorado,2014-06-21,0001168054,/wiki/Cimarex_Energy
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,Fairfield, Ohio,,0000020286,/wiki/Cincinnati_Financial
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,Mason, Ohio,,0000723254,/wiki/Cintas_Corporation
CSCO,Cisco Systems,reports,Information Technology,Networking Equipment,San Jose, California,1993-12-01,0000858877,/wiki/Cisco_Systems
C,Citigroup Inc.,reports,Financials,Banks,New York, New York,1988-05-31,0000831001,/wiki/Citigroup_Inc.
CTXS,Citrix Systems,reports,Information Technology,Internet Software & Services,Fort Lauderdale, Florida,,0000877890,/wiki/Citrix_Systems
CLX,The Clorox Company,reports,Consumer Staples,Household Products,Oakland, California,1969-03-31,0000021076,/wiki/The_Clorox_Company
CME,CME Group Inc.,reports,Financials,Diversified Financial Services,Chicago, Illinois,,0001156375,/wiki/CME_Group_Inc.
CMS,CMS Energy,reports,Utilities,MultiUtilities,Jackson, Michigan,,0000811156,/wiki/CMS_Energy
COH,Coach Inc.,reports,Consumer Discretionary,Apparel, Accessories & Luxury Goods,New York, New York,,0001116132,/wiki/Coach_Inc.
